SDPT.BHZ.AT.--,55.3493,-160.4766,74.00,-0.53832843,-0.19087956,0.82083342,289
TTA.BHZ.AT.--,62.9301,-156.0116,990.00,-0.41799781,-0.18600322,0.88920224,79
SVW2.BHZ.AT.--,61.1082,-155.6217,498.80,-0.44235675,-0.20045994,0.87414891,179
CHGN.BHZ.AT.--,56.3014,-158.4142,17.00,-0.51832231,-0.20507026,0.83023380,397
YKU2.BHZ.AT.--,59.5121,-139.6710,10.10,-0.38871769,-0.32999451,0.86023379,35
CRAG.BHZ.AT.--,55.4689,-133.1230,57.90,-0.38925578,-0.41563368,0.82202712,75
SKAG.BHZ.AT.--,59.4601,-135.3290,134.00,-0.36317469,-0.35902804,0.85976916,685
MTN.BHZ.AU.--,-12.8436,131.1327,137.40,-0.64155969,0.73458694,-0.22086917,619
RABL.BHZ.AU.--,-4.1911,152.1637,274.00,-0.88195216,0.46571495,-0.07259454,1274
STKA.BHZ.AU.--,-31.8769,141.5952,272.30,-0.66670328,0.52851345,-0.52552857,190
FORT.BHZ.AU.--,-30.7790,128.0590,165.00,-0.53057266,0.67766252,-0.50918186,117
PSA00.BHZ.AU.00,-21.5725,119.8458,305.00,-0.46322717,0.80734308,-0.36553761,244
KNRA.BHZ.AU.--,-15.6769,128.7627,98.00,-0.60310115,0.75110733,-0.26852706,204
LHI.BHZ.AU.--,-31.5200,159.0613,70.70,-0.79762629,0.30520133,-0.52023500,32
FITZ.BHZ.AU.--,-18.1020,125.6390,110.00,-0.55419527,0.77297961,-0.30882054,167
GIRL.BHZ.AU.--,-22.6430,114.2340,109.00,-0.37920305,0.84242769,-0.38278013,143
WB2.BHZ.AU.--,-19.9428,134.3511,388.00,-0.65764644,0.67271400,-0.33905315,206
MANU.BHZ.AU.--,-2.0432,147.3662,138.50,-0.84160618,0.53892941,-0.03541362,2746
MCQ.BHZ.AU.--,-54.4986,158.9561,14.00,-0.54441488,0.20946003,-0.81224315,50
EIDS.BHZ.AU.--,-25.3691,151.0817,216.00,-0.79187548,0.43746881,-0.42609185,378
WR10.BHZ.AU.--,-19.9597,134.5405,353.00,-0.65979679,0.67046544,-0.33932919,737
COEN.BHZ.AU.--,-13.9563,143.1757,240.00,-0.77715008,0.58189676,-0.23965373,234
NIUE.BHZ.AU.--,-19.0763,-169.9272,105.80,-0.93118365,-0.16541302,-0.32486233,133
BBOO.BHZ.AU.--,-32.8096,136.0583,295.00,-0.60637554,0.58437883,-0.53926811,145
MORW.BHZ.AU.--,-29.0679,116.0403,293.00,-0.38431669,0.78656136,-0.48334450,121
AS31.BHZ.AU.--,-23.6660,133.9040,607.00,-0.63582027,0.66062271,-0.39913684,523
TOO.BHZ.AU.--,-37.5714,145.4906,604.00,-0.65475705,0.45016023,-0.60716470,107
ARMA.BHZ.AU.--,-30.4198,151.6280,1112.00,-0.76006215,0.41048417,-0.50379389,230
