
STA            LAT          LON     ELEV STAT     ONDATE    OFFDATE STANAME
BR02      39.84880     32.76540    1.270 ss      1993300    2000292 Belbasi Array, Turkey
BR03      39.83340     32.76560    1.259 ss      1993300    2000292 Belbasi Array, Turkey
BR04      39.84090     32.74130    1.265 ss      1993300    2000292 Belbasi Array, Turkey
BR05      39.84810     32.74690    1.265 ss      1993300    2000292 Belbasi Array, Turkey
BR06      39.85330     32.74830    1.210 ss      1993300    2000292 Belbasi Array, Turkey
BR101     39.72540     33.63910    1.438 ss      2000007    2004082 Keskin, Turkey short-period Array
BR101     39.72540     33.63910    1.438 ss      2003041         -1 KESKIN SHORT-PERIOD ARRAY, Turkey
BR102     39.73550     33.64860    1.511 ss      2003041         -1 KESKIN SHORT-PERIOD ARRAY, Turkey
BR102     39.73550     33.64860    1.511 ss      2000007    2004082 Keskin, Turkey short-period Array
BR103     39.71960     33.65700    1.471 ss      2000007    2004082 Keskin, Turkey short-period Array
BR103     39.71960     33.65700    1.471 ss      2003041         -1 KESKIN SHORT-PERIOD ARRAY, Turkey
BR104     39.70740     33.64140    1.377 ss      2000007    2004082 Keskin, Turkey short-period Array
BR104     39.70740     33.64140    1.377 ss      2003041         -1 KESKIN SHORT-PERIOD ARRAY, Turkey
BR105     39.71800     33.61730    1.445 ss      2003041         -1 KESKIN SHORT-PERIOD ARRAY, Turkey
BR105     39.71800     33.61730    1.445 ss      2000007    2004082 Keskin, Turkey short-period Array
BR106     39.73380     33.61800    1.365 ss      2003041         -1 KESKIN SHORT-PERIOD ARRAY, Turkey
BR106     39.73380     33.61800    1.365 ss      2000007    2004082 Keskin, Turkey short-period Array
BR131     39.72500     33.63900    1.440 ss      2000007    2004082 Keskin, Turkey broad-band site
BR131     39.72500     33.63900    1.440 ar      2003041         -1 KESKIN SHORT-PERIOD ARRAY, Turkey
BR231     39.84170     32.77600    1.258 ar      2003041         -1 ANKARA MEDUIM-PERIOD ARRAY, Turkey
BR232     39.92850     32.98200    1.133 ss      2003041         -1 ANKARA MEDUIM-PERIOD ARRAY, Turkey
BR233     39.79350     32.98130    1.865 ss      2003041         -1 ANKARA MEDUIM-PERIOD ARRAY, Turkey
BR234     39.65190     32.80010    1.064 ss      2003041         -1 ANKARA MEDUIM-PERIOD ARRAY, Turkey
BR235     39.74120     32.59160    1.280 ss      2003041         -1 ANKARA MEDUIM-PERIOD ARRAY, Turkey
BR236     39.87950     32.55110    1.098 ss      2003041         -1 ANKARA MEDUIM-PERIOD ARRAY, Turkey
BR237     40.01870     32.73040    1.109 ss      2003041         -1 ANKARA MEDUIM-PERIOD ARRAY, Turkey
BR31      39.85350     32.76080    1.243 ss      1993300    2000292 Belbasi Array, Turkey
BRAR      39.72500     33.63900    1.440 ar      2000007    2004082 Keskin Array, Turkey
BRAR      39.85350     32.76080    1.243 ar      1993300    2000292 Belbasi Array, Turkey
BRMAR     39.84170     32.77600    1.258 ar      2003041         -1 ANKARA MEDUIM-PERIOD ARRAY, Turkey
BRTR      39.72500     33.63900    1.440 ar      2003041         -1 KESKIN SHORT-PERIOD ARRAY, Turkey
BVA0      53.02490     70.38850     .420 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
BVA1      53.02490     70.38860     .420 ss      2002187         -1 BOROVOYE ARRAY, Kazakhstan
